raw data file is: e6_output_full.dat
number of data points: 	168
0.002216	14972.147235	1517.57796
0.002827	13834.6332708	1386.0165800000002
0.003438	12759.24072069	1276.1653800000001
0.00405	11631.329490772	1163.21775
0.004661	10453.554276518998	1045.40922
0.005272	9264.417520150999	926.476493
0.005883	8099.0910798350005	809.931505
0.006495	6992.602868224	699.2771640000001
0.007106	5971.497580493	597.163219
0.007717	5041.707177807	504.18169900000004
0.008328	4227.0315682337	422.71235100000007
0.00894	3502.0698907709	350.21523900000005
0.009551	2875.6043650009	287.5672
0.010162	2346.0121892908	234.60670100000004
0.010773	1892.5144467801001	189.256267
0.011385	1522.5272755507	152.257384
0.011996	1216.6814573052	121.67144400000001
0.012607	967.4460235683	96.748248
0.013218	766.5311323106	76.6564813
0.013829	606.0118445048	60.60433030000001
0.014441	474.50177292190006	47.453295000000004
0.015052	370.8793044333	37.0909762
0.015663	288.3243990866	28.8350887
0.016274	219.7921726082	21.981409900000003
0.016886	168.9008721923	16.891862200000002
0.017497	127.4787803021	12.749868200000002
0.018108	97.8426871352	9.786068890000001
0.018719	73.93275378349999	7.39484141
0.019331	59.2207035438	5.92350564
0.019942	49.5574975807	4.9568983300000005
0.020553	43.970702368	4.39830921
0.021164	41.1490301816	4.11638994
0.021776	39.7023864193	3.9713581700000002
0.022387	39.450269314450004	3.9458442300000005
0.022998	39.409997266699996	3.9422018199999997
0.023609	38.952300802370004	3.8959642500000005
0.024221	37.38960460788	3.73988801
0.024832	35.09068904148	3.50965296
0.025443	31.55487368411	3.1563665800000003
0.026054	28.44275876617	2.8448529000000002
0.026666	25.207632844800003	2.52170422
0.027277	21.86685873156	2.18717417
0.027888	18.643465875030003	1.8651125400000002
0.028499	15.59539931322	1.5603140500000001
0.029111	13.17457701574	1.31822791
0.029722	11.101421495699999	1.11064476
0.030333	9.693992996679999	0.970144418
0.030944	8.63471766788	0.864140804
0.031556	8.06423619958	0.8071169579999999
0.032167	7.73025278533	0.773448463
0.032778	7.632704116359999	0.763896941
0.033389	7.74105972415	0.7749278340000001
0.034001	7.8702207522	0.787687143
0.034612	7.9945724682599995	0.800026314
0.035223	8.22080172156	0.8224151020000001
0.035834	8.327224360619999	0.833338946
0.036446	8.46321881131	0.8469428840000002
0.037057	8.452475484339999	0.845637459
0.037668	8.59800734286	0.8604287100000001
0.038279	8.55085158454	0.8555243900000001
0.038891	8.47234784361	0.847843937
0.039502	8.34087070967	0.8347515460000001
0.040113	8.186222152429998	0.8190643959999999
0.040724	7.86384255344	0.787253783
0.041336	7.5841636588400005	0.7588959810000001
0.041947	7.0899862119699995	0.709386578
0.042558	6.535946796709999	0.654107917
0.043169	5.97743473665	0.598425675
0.043781	5.29120067716	0.529571723
0.044392	4.75238096874	0.476107646
0.045003	4.1182955976999995	0.412510977
0.045614	3.6032128009	0.36070051300000006
0.046226	3.03515477667	0.304122482
0.046837	2.65423831638	0.266088633
0.047448	2.25084329699	0.225422502
0.048059	1.95885944442	0.19625318400000002
0.048671	1.78975427363	0.179536187
0.049282	1.6508436377600002	0.16555711500000003
0.049893	1.58867486856	0.159521775
0.050504	1.52848933695	0.15315042
0.051116	1.49947459159	0.150461529
0.051727	1.52587733271	0.153049141
0.052338	1.58381987935	0.15872523400000002
0.052949	1.61455609934	0.16207879300000003
0.053561	1.6802040637	0.168502186
0.054172	1.68636269129	0.16932483
0.054783	1.75600273213	0.17612083300000003
0.055394	1.81256762995	0.18165578000000002
0.056006	1.80183705652	0.18073255
0.056617	1.7688087053800001	0.17730383300000002
0.057228	1.78702225167	0.179091326
0.057839	1.7074298811200002	0.17122592800000003
0.058451	1.68349797673	0.16876271
0.059062	1.58354071708	0.158678901
0.059673	1.5022779587	0.15066320700000002
0.061561	1.13499992	0.11390662700000001
0.065054	0.596654165	0.0600689665
0.068547	0.5133355079999999	0.0517291498
0.07204	0.588900191	0.0592555281
0.075533	0.5113763920000001	0.051506595200000005
0.079026	0.332105488	0.0335564878
0.082519	0.24211417000000002	0.024554400000000004
0.086011	0.24578508	0.0249439
0.089504	0.24705768	0.025073200000000004
0.092997	0.20048881999999998	0.020400500000000002
0.09649	0.14879499	0.015233700000000001
0.099983	0.13656664	0.014018000000000001
0.103476	0.14684388	0.015040000000000001
0.106968	0.14173772	0.014537000000000001
0.110461	0.10923247	0.011244400000000002
0.113954	0.08179512	0.008538750000000001
0.117447	0.07367242	0.007731830000000001
0.12094	0.07011934	0.00735928
0.124433	0.06328727	0.00667624
0.127926	0.04958479	0.00529476
0.131418	0.0443465	0.004760250000000001
0.134911	0.0437448	0.0046986300000000005
0.138404	0.04298154	0.00462037
0.141897	0.0369333	0.00399869
0.14539	0.0338995	0.00372812
0.148883	0.02874639	0.0031991100000000002
0.152375	0.028149600000000004	0.0031366400000000004
0.155868	0.0253444	0.00285569
0.159361	0.02220606	0.00253608
0.162854	0.01915144	0.00222124
0.166347	0.01811839	0.00213646
0.16984	0.01791194	0.0021310500000000002
0.173333	0.01628631	0.00196574
0.176825	0.01404796	0.00173829
0.180318	0.0133747	0.00166649
0.183811	0.01324105	0.0016611500000000001
0.187304	0.01234454	0.00153409
0.190797	0.010333179999999999	0.0013598500000000001
0.19429	0.00972724	0.0012912000000000002
0.197783	0.00884915	0.00121192
0.201275	0.0082635	0.0011550400000000002
0.204768	0.007935030000000001	0.0010939
0.208261	0.0066354299999999995	0.000976912
0.211754	0.006496269999999999	0.000977053
0.215247	0.00600371	0.000930253
0.21874	0.006315670000000001	0.000944823
0.222232	0.00525089	0.0008471730000000001
0.225725	0.004805710000000001	0.0007969540000000001
0.229218	0.00484616	0.0008001130000000001
0.232711	0.004293140000000001	0.000731238
0.236204	0.00423053	0.0007181230000000001
0.239697	0.00383532	0.0006875990000000001
0.24319	0.00346638	0.0006684410000000001
0.246682	0.0036961400000000005	0.0006675440000000001
0.250175	0.0030573	0.000629395
0.253668	0.0032864000000000005	0.0006396780000000001
0.257161	0.00281349	0.0006037540000000001
0.260654	0.00255445	0.000583087
0.264147	0.0024071099999999996	0.000557637
0.267639	0.0021155400000000004	0.0005222530000000001
0.271132	0.00216765	0.0005332230000000001
0.274625	0.00212357	0.000546273
0.278118	0.00220585	0.000529532
0.281611	0.0018263600000000004	0.000500289
0.285104	0.0018547699999999995	0.000492237
0.288597	0.00170821	0.000475309
0.292089	0.00179596	0.00048615500000000005
0.295582	0.0017510799999999995	0.000484176
0.299075	0.0018210600000000002	0.000488025
0.302568	0.0014820499999999995	0.000445838
0.306061	0.00100307	0.00040712800000000004
0.309554	0.00112437	0.000432105
0.313046	0.0011109200000000005	0.00042615200000000006
