raw data file is: e6_output_full.dat
number of data points: 	168
0.002216	1511.390315	171.50226800000002
0.002827	1403.9751708000001	142.95077
0.003438	1344.3643306899999	134.677741
0.00405	1294.7280507720002	129.55760600000002
0.004661	1236.021796519	123.655972
0.005272	1175.653670151	117.600108
0.005883	1116.0034398349999	111.622741
0.006495	1050.511858224	105.06806300000001
0.007106	987.4898564929999	98.7624466
0.007717	922.5073608069999	92.2617173
0.008328	859.4372952337	85.9529237
0.00894	796.9148127709	79.6997312
0.009551	738.5953520009	73.8662987
0.010162	684.3604222908	68.44152430000001
0.010773	630.3968297801	63.044505300000004
0.011385	584.0288165507	58.407538100000004
0.011996	539.1807163052	53.9213699
0.012607	500.3450745683	50.0381531
0.013218	462.3154313106	46.2349112
0.013829	429.6884095048	42.9719868
0.014441	398.0717599219	39.8102937
0.015052	370.7801204333	37.0810578
0.015663	346.22602508660003	34.6252513
0.016274	318.5349656082	31.8556892
0.016886	296.8554821923	29.687323199999998
0.017497	277.2379473021	27.725784900000004
0.018108	258.0999982352	25.8118
0.018719	240.0084406835	24.002410100000002
0.019331	220.3867731438	22.0401126
0.019942	204.1727112807	20.4184197
0.020553	190.279066268	19.029145600000003
0.021164	176.11383878159998	17.6128708
0.021776	163.3585377193	16.3369733
0.022387	150.52283001445	15.0531003
0.022998	136.5097880667	13.6521809
0.023609	125.56969430237001	12.557703600000002
0.024221	115.75750850788	11.5766784
0.024832	106.74966344148	10.6755504
0.025443	98.23712888410999	9.8245921
0.026054	90.42769206617	9.043346230000001
0.026666	82.18727334479999	8.21966827
0.027277	73.41047633156	7.341535930000001
0.027888	67.09151607503	6.70991756
0.028499	61.599797313219995	6.16075385
0.029111	56.625692715739994	5.66333948
0.029722	51.6283047957	5.16333309
0.030333	47.16500251668	4.71724537
0.030944	42.787392827880005	4.279408320000001
0.031556	38.76618211958	3.8773115500000004
0.032167	34.86668675533	3.4870918600000005
0.032778	30.35472700636	3.03609923
0.033389	27.199300184149998	2.72075188
0.034001	24.3967914222	2.44034421
0.034612	22.06479112826	2.20704818
0.035223	19.75571780156	1.97590671
0.035834	17.697289900620003	1.7703455000000003
0.036446	15.698248771309999	1.57044588
0.037057	13.99639669434	1.40002958
0.037668	12.283574142860001	1.22898539
0.038279	10.89766398454	1.09020563
0.038891	9.52760920361	0.953370073
0.039502	8.37387555967	0.838052031
0.040113	7.29678422243	0.730120603
0.040724	6.37923090344	0.6387926180000001
0.041336	5.57913981884	0.558393597
0.041947	4.91290814197	0.49167877100000007
0.042558	4.237313716709999	0.424244609
0.043169	3.7519616566500003	0.37587836700000005
0.043781	3.30080606716	0.330532262
0.044392	2.87798421874	0.288667971
0.045003	2.5616313777	0.256844555
0.045614	2.2989103609	0.230270269
0.046226	2.10097275667	0.21070428
0.046837	1.86667592638	0.187332394
0.047448	1.78488001699	0.178826174
0.048059	1.65077924442	0.165445164
0.048671	1.60177847363	0.160738607
0.049282	1.5975339477600001	0.160226146
0.049893	1.59466164856	0.160120453
0.050504	1.56904003695	0.15720549
0.051116	1.60673715159	0.161187785
0.051727	1.6918504427099998	0.169646452
0.052338	1.72042375935	0.17238562200000002
0.052949	1.77448401934	0.178071585
0.053561	1.8388543437	0.184367214
0.054172	1.86701318129	0.187389879
0.054783	1.9385400021299999	0.19437456
0.055394	1.98081482995	0.1984805
0.056006	2.08617108652	0.209165953
0.056617	2.06334042538	0.20675700500000002
0.057228	2.13904331167	0.21429343200000003
0.057839	2.1720641711199997	0.217689357
0.058451	2.16254283673	0.216667196
0.059062	2.23055531708	0.223380361
0.059673	2.2206722687	0.22250263800000003
0.061561	2.18990473	0.219397108
0.065054	1.95441476	0.195845026
0.068547	1.5765496	0.158050559
0.07204	1.12745313	0.113110822
0.075533	0.745632568	0.0749322128
0.079026	0.46067152499999997	0.0464130915
0.082519	0.29942516999999996	0.0302855
0.086011	0.23407208	0.0237726
0.089504	0.23244267999999998	0.0236117
0.092997	0.27101982	0.0274536
0.09649	0.29428799	0.029783
0.099983	0.30700163999999996	0.0310615
0.103476	0.28608888	0.0289645
0.106968	0.24316972	0.0246802
0.110461	0.18970047	0.0192912
0.113954	0.13501362	0.0138606
0.117447	0.09977712	0.0103423
0.12094	0.07651544	0.00799889
0.124433	0.06836217	0.007183730000000001
0.127926	0.06674389	0.00701067
0.131418	0.07685260000000001	0.00801086
0.134911	0.0786453	0.00818868
0.138404	0.07845684	0.0081679
0.141897	0.0740807	0.00771343
0.14539	0.06123869999999999	0.00646204
0.148883	0.051310390000000004	0.00545551
0.152375	0.0414198	0.00446366
0.155868	0.03267	0.00358825
0.159361	0.02789046	0.00310452
